sku_producto,nombre_producto,descripcion,descripcion,Monto,cantidad,Promedio de altura,Promedio de ancho,costo_entrega,is_active,Promedio de precio_amazon,Promedio de stock
7410840697,Plancha Para Cabello Babyliss Pro Porcelain Ceramica Babyliss 9557.,Cabello,Belleza,29865.03,19,12.6,10.5,366.08,FALSE,0,0
7410841419,Secadora De Cabello Conair 237Wpes Morado,Cabello,Belleza,874.54,2,21.64674699,9.560722892,119.88,TRUE,0,7
7410842557,Cepillo De Aire Conair Infiniti Pro Giratorio,Cabello,Belleza,2290.74,2,21.64674699,9.560722892,119.88,TRUE,0,7
7410842878,Combo Babyliss Pro De Secadora Y Plancha Profesional Cepp1.,Cabello,Belleza,26445.71,13,12.6,10.5,366.08,FALSE,0,0
7410842878,Combo Babyliss Pro Secadora Y Plancha Profesional,Cabello,Belleza,14273.69,7,12.6,10.5,366.08,FALSE,0,0
7410847709,"Kit Con  Alaciadora De Ceramica De 1"" Y Tenaza De 3/4"" Morado Conair",Cabello,Belleza,773.07,1,21.64674699,9.560722892,119.88,TRUE,0,7
7459055194,Alaciadora Remington,Cabello,Belleza,1969.54,2,21.64674699,9.560722892,119.88,TRUE,0,7
7502005003,Philips Afeitadora Corporal.,Rostro,Belleza,5615.89,7,25,10.5,246.84,FALSE,0,2
9390520152,Muñecos Baby Boutique Literas De Lujo,Muñecas,Juguetes,2551.35,5,32.96583333,26.06166667,1559.17,FALSE,0,0
9905300607,Cafetera Espresso CKM-750 EIN,Cafeteras,Enseres Menores,4430.37,3,23.55555556,16.02380952,164.74,TRUE,308.1081081,95
9905305776,Aspiradora Koblenz 5 Galones Seco Mojado.,Aspiradoras,Enseres Menores,293995.09,226,37.26666667,29.26666667,664.16,TRUE,0,50
9905305776,Koblenz,Aspiradoras,Enseres Menores,31339.63,29,37.26666667,29.26666667,664.16,TRUE,0,50
9905305789,Aspiradora Koblenz 3 Galones Multiusos,Aspiradoras,Enseres Menores,130232.73,107,37.26666667,29.26666667,664.16,TRUE,0,50
19172637822,Halo Espada De Energía,Figuras de acción,Juguetes,378.87,1,25.35,23.25,248.25,FALSE,0,0
19299541059,Figura Mario Bros Mario,Figuras de acción,Juguetes,1706.01,3,25.35,23.25,248.25,FALSE,0,0
19299541273,Set De Juego Sonic Battle Set,Figuras de acción,Juguetes,444.57,1,25.35,23.25,248.25,FALSE,0,0
19362409038,Crossbody Steve Madden Bevelyn,Bolsos para mujer,Moda,58376.64,32,40,15,153.45,TRUE,0,0
19425224494,Apple AirPods Max Auriculares Inalámbrico Diadema Llamadas/Música Bluetooth Gris,Audífonos y Micrófonos,Electrónicos,8026.35,1,24.04655172,16.03189655,17200.02,TRUE,0,20
19425224503,Apple AirPods Max Auriculares Inalámbrico Diadema Llamadas/Música Bluetooth Azul,Audífonos y Micrófonos,Electrónicos,33099.66,4,24.04655172,16.03189655,17200.02,TRUE,0,20
19425224506,Apple AirPods Max Auriculares Inalámbrico Diadema Llamadas/Música Bluetooth Rosa,Audífonos y Micrófonos,Electrónicos,25095.21,3,24.04655172,16.03189655,17200.02,TRUE,0,20
19425224509,Apple AirPods Max Auriculares Inalámbrico Diadema Llamadas/Música Bluetooth Verde,Audífonos y Micrófonos,Electrónicos,8365.07,1,24.04655172,16.03189655,17200.02,TRUE,0,20
19425242582,"Apple MacBook Air Computadora portátil 33.8 cm (13.3"") Apple M M1 8 GB 256 GB SSD Wi-Fi 6 (802.11ax) macOS Big Sur Gris",Laptops,Electrónicos,12044.27,1,23.46208955,28.29716418,445.2,FALSE,11184.29096,1
19425251565,"Apple iPad 64 GB 10.2"" Wi-Fi Gris (9a Generación)",Tablets,Electrónicos,13340.75,3,17.40444444,13.62222222,1408.03,FALSE,1648.411972,0
19425251566,iPad 9na Generación de 10.2 64 GB Gris espacial,Tablets,Electrónicos,8385.51,2,38.73106061,18.03787879,28938.68,TRUE,1388.211416,23
19425279675,"Apple iPad Air 256 GB 27.7 cm (10.9"") Apple M 8 GB Wi-Fi 6 (802.11ax) iPadOS 15 Gris",Tablets,Electrónicos,110514.7,10,38.73106061,18.03787879,28938.68,TRUE,1388.211416,23
19425281955,"Apple iPad Air 64 GB 27.7 cm (10.9"") Apple M 8 GB Wi-Fi 6 (802.11ax) iPadOS 15 Púrpura",Tablets,Electrónicos,21788.31,3,38.73106061,18.03787879,28938.68,TRUE,1388.211416,23
19425282009,"Apple iPad Air 256 GB 27.7 cm (10.9"") Apple M 8 GB Wi-Fi 6E (802.11ax) iPadOS 15 Púrpura",Tablets,Electrónicos,33395.31,3,38.73106061,18.03787879,28938.68,TRUE,1388.211416,23
19425329976,"Apple MNWM3AM/A cargador de dispositivo móvil Computadora portátil, Smartphone, Reloj inteligente, Tableta Blanco Corriente alterna Interior",Mac Accesorios,Electrónicos,5179.35,5,14.66666667,14.66666667,3195.8,TRUE,0,11
19425332403,Apple AirPods (3rd generation) AirPods Auriculares Inalámbrico Intra auditivo Llamadas/Música Bluetooth Blanco,Audífonos y Micrófonos,Electrónicos,11552.98,4,24.04655172,16.03189655,17200.02,TRUE,0,20
19425339014,"Apple iPad 256 GB 27.7 cm (10.9"") Wi-Fi 6 (802.11ax) iPadOS 16 Amarillo",Tablets,Electrónicos,9854.27,1,17.40444444,13.62222222,1408.03,FALSE,1648.411972,0
19425351617,Apple AirPods Pro (2nd generation) Audífonos Inalámbrico Intra auditivo Llamadas/Música Bluetooth Blanco,Audífonos y Micrófonos,Electrónicos,31092.16,8,24.04655172,16.03189655,17200.02,TRUE,0,20
19473500763,Set de Juego Barbie Casa de Muñecas Malibú,Muñecas,Juguetes,3939.81,3,32.96583333,26.06166667,1559.17,FALSE,0,0
19473502435,Muñeca Barbie Dreamtopia Sirena Luces Brillantes,Muñecas,Juguetes,1311.81,3,32.96583333,26.06166667,1559.17,FALSE,0,0
19473502478,Juguete De Construcción Mega Hot Wheels Mega-Wrex Monster Truck.,Carros,Juguetes,3646.35,5,38.90285714,31.80857143,2330.55,FALSE,0,0
19473509016,Peluche Star Wars Mandalorian,Peluches,Juguetes,656.27,1,2.333333333,10.33333333,0,TRUE,0,75
19473509603,Peluche MATTEL Star Wars Darth Vader con Sonidos y Luz,Peluches,Juguetes,729.27,1,,,0,FALSE,0,0
19473510656,Barbie Cutie Reveal Animales De La Selva Tigre,Muñecas,Juguetes,1020.54,2,32.96583333,26.06166667,1559.17,FALSE,0,0
19473510661,Muñeca Barbie Cutie Reveal Animales De La Selva Elefante,Muñecas,Juguetes,510.27,1,32.96583333,26.06166667,1559.17,FALSE,0,0
19473510664,Barbie Cutie Reveal Animales De La Selva Mono,Muñecas,Juguetes,510.27,1,32.96583333,26.06166667,1559.17,FALSE,0,0
19473510696,Barbie Cutie Reveal Animales De La Selva Tucán,Muñecas,Juguetes,1020.54,2,23.5,10.83,134.84,TRUE,0,0
19590824661,HP Mouse inalámbrico para múltiples dispositivos 435,Ratones,Electrónicos,320.47,1,15.5,20,0,FALSE,0,8
19594901741,Smartphone Apple iPhone 15 Pro 256GB Titanio Natural,Celulares,Electrónicos,17125.07,1,21.33904453,21.57153846,36768.05,TRUE,1025.333147,10
19594904843,"Apple iPhone 15 Pro 15.5 cm (6.1"") SIM dual iOS 17 5G USB Tipo C 256 GB Titanio, Blanco",Celulares,Electrónicos,55010.61,3,11.78292035,14.61834808,340.29,FALSE,40.71253644,1
19594904861,"Apple iPhone 15 Pro Max 17 cm (6.7"") SIM dual iOS 17 5G USB Tipo C 256 GB Titanio",Celulares,Electrónicos,252359.613,11,11.78292035,14.61834808,340.29,FALSE,40.71253644,1
19594904879,"Apple iPhone 15 Pro 15.5 cm (6.1"") SIM dual iOS 17 5G USB Tipo C 256 GB Titanio, Azul",Celulares,Electrónicos,58667.91,3,11.78292035,14.61834808,340.29,FALSE,40.71253644,1
1.95949E+11,"Apple iPhone 15 Pro Max 17 cm (6.7"") SIM dual iOS 17 5G USB Tipo C 256 GB Titanio, Azul",Celulares,Electrónicos,81253.38,4,21.33904453,21.57153846,36768.05,TRUE,1025.333147,10
